transaction_id,date,vendor,category,amount,subtotal,tax_amount,invoice_number,is_seeded_anomaly
0,2026-06-18,Lark & Ledger,Office Supplies,195.51,181.92,13.59,OFF00001,False
1,2026-09-14,SignalForge,Software,144.5,135.66,8.84,SW00002,False
2,2026-05-06,Oak & Stone Consulting,Professional Services,828.48,751.18,77.3,PS00003,False
3,2026-04-20,Summit Airways,Travel,359.82,331.79,28.03,TRV00004,False
4,2026-03-06,Verve Strategy,Professional Services,679.74,613.03,66.71,PS00005,False
5,2026-08-22,Hearth & Stone,Facilities,406.83,368.73,38.1,FAC00006,False
6,2026-05-19,NovaStack,Software,132.49,120.59,11.9,SW00007,False
7,2026-03-19,Summit Stationery,Office Supplies,112.44,104.16,8.28,OFF00008,False
8,2026-06-26,NovaStack,Software,64.32,59.69,4.63,SW00009,False
9,2026-08-05,NovaStack,Software,124.23,113.63,10.6,SW00010,False
10,2026-08-08,Bluebird Apps,Software,73.59,69.06,4.53,SW00011,False
11,2026-02-12,Compass Transit,Travel,198.27,176.0,22.27,TRV00012,False
12,2026-03-06,SignalForge,Software,115.89,108.76,7.13,SW00013,False
13,2026-01-20,Metro Facilities,Facilities,389.63,351.57,38.06,FAC00014,False
14,2026-05-27,Lark & Ledger,Office Supplies,144.27,132.94,11.33,OFF00015,False
15,2025-12-28,Northline Maintenance,Facilities,281.62,255.92,25.7,FAC00016,False
16,2025-12-29,Verve Strategy,Professional Services,249.04,230.22,18.82,PS00017,False
17,2026-06-20,Harbor & Pine Travel,Travel,770.93,684.36,86.57,TRV00018,False
18,2026-04-13,Cloudpeak,Software,49.06,46.13,2.93,SW00019,False
19,2026-07-06,Verve Strategy,Professional Services,571.72,524.49,47.23,PS00020,False
20,2026-05-05,Brightline Advisory,Professional Services,497.96,460.2,37.76,PS00021,False
21,2026-06-11,Northline Maintenance,Facilities,309.35,284.88,24.47,FAC00022,False
22,2026-03-30,Compass Transit,Travel,698.68,608.69,89.99,TRV00023,False
23,2026-07-22,Oak & Stone Consulting,Professional Services,800.74,740.82,59.92,PS00024,False
24,2026-04-21,Northwind Office,Office Supplies,120.72,111.23,9.49,OFF00025,False
25,2026-05-28,Verve Strategy,Professional Services,362.99,329.89,33.1,PS00026,False
26,2026-06-20,SignalForge,Software,122.61,112.9,9.71,SW00027,False
27,2026-01-12,SignalForge,Software,98.49,91.21,7.28,SW00028,False
28,2026-06-19,Summit Stationery,Office Supplies,74.09,68.7,5.39,OFF00029,False
29,2026-08-31,Summit Stationery,Office Supplies,144.29,131.23,13.06,OFF00030,False
30,2026-01-30,AeroRoute,Travel,598.28,551.01,47.27,TRV00031,False
31,2026-05-02,Oak & Stone Consulting,Professional Services,591.53,541.26,50.27,PS00032,False
32,2026-07-30,Cloudpeak,Software,78.94,73.26,5.68,SW00033,False
33,2025-12-25,Harbor & Pine Travel,Travel,1224.55,1123.63,100.92,TRV00034,False
34,2026-03-16,Summit Airways,Travel,687.51,610.49,77.02,TRV00035,False
35,2026-07-07,Redwood Print House,Office Supplies,165.53,148.35,17.18,OFF00036,False
36,2026-02-23,Brightline Advisory,Professional Services,572.83,519.25,53.58,PS00037,False
37,2026-07-30,Summit Stationery,Office Supplies,117.37,108.22,9.15,OFF00038,False
38,2026-08-26,Northline Maintenance,Facilities,477.02,440.77,36.25,FAC00039,False
39,2026-04-18,Harbor & Pine Travel,Travel,1053.81,930.6,123.21,TRV00040,False
40,2026-02-19,Verve Strategy,Professional Services,545.71,495.7,50.01,PS00041,False
41,2026-06-19,Oak & Stone Consulting,Professional Services,433.91,394.51,39.4,PS00042,False
42,2025-12-21,Harbor & Pine Travel,Travel,473.5,416.02,57.48,TRV00043,False
43,2026-01-31,Verve Strategy,Professional Services,352.69,319.18,33.51,PS00044,False
44,2026-03-07,Northwind Office,Office Supplies,199.66,182.33,17.33,OFF00045,False
45,2026-01-28,Harbor & Pine Travel,Travel,187.72,172.34,15.38,TRV00046,False
46,2026-09-12,Redwood Print House,Office Supplies,144.41,131.39,13.02,OFF00047,False
47,2026-02-12,Summit Stationery,Office Supplies,195.3,176.43,18.87,OFF00048,False
48,2026-04-18,Brightline Advisory,Professional Services,821.91,759.59,62.32,PS00049,False
49,2026-05-03,Northwind Office,Office Supplies,179.71,165.73,13.98,OFF00050,False
50,2026-05-06,Verve Strategy,Professional Services,611.36,569.11,42.25,PS00051,False
51,2026-01-27,Redwood Print House,Office Supplies,137.17,124.72,12.45,OFF00052,False
52,2026-07-11,Lark & Ledger,Office Supplies,141.0,131.67,9.33,OFF00053,False
53,2026-01-19,Pioneer Legal,Professional Services,824.13,763.57,60.56,PS00054,False
54,2026-07-18,Summit Airways,Travel,1071.1,965.93,105.17,TRV00055,False
55,2026-04-01,Metro Facilities,Facilities,392.48,349.38,43.1,FAC00056,False
56,2026-05-15,Harbor & Pine Travel,Travel,399.2,351.05,48.15,TRV00057,False
57,2026-01-17,Compass Transit,Travel,247.7,227.2,20.5,TRV00058,False
58,2026-03-17,Lark & Ledger,Office Supplies,88.18,81.78,6.4,OFF00059,False
59,2026-03-08,AeroRoute,Travel,289.96,268.11,21.85,TRV00060,False
60,2026-02-11,Metro Facilities,Facilities,151.7,136.17,15.53,FAC00061,False
61,2026-04-07,Lark & Ledger,Office Supplies,110.11,98.86,11.25,OFF00062,False
62,2026-05-16,Cedar Works,Facilities,240.8,220.42,20.38,FAC00063,False
63,2026-05-26,Redwood Print House,Office Supplies,114.91,105.55,9.36,OFF00064,False
64,2026-08-22,Pioneer Legal,Professional Services,846.5,764.68,81.82,PS00065,False
65,2026-01-16,Redwood Print House,Office Supplies,212.45,189.86,22.59,OFF00066,False
66,2026-05-28,Compass Transit,Travel,754.66,692.72,61.94,TRV00067,False
67,2026-05-16,Cedar Works,Facilities,462.52,419.28,43.24,FAC00068,False
68,2026-06-26,Hearth & Stone,Facilities,278.91,252.66,26.25,FAC00069,False
69,2026-04-13,Metro Facilities,Facilities,275.32,250.67,24.65,FAC00070,False
70,2026-04-18,Hearth & Stone,Facilities,502.63,445.81,56.82,FAC00071,False
71,2026-08-28,Summit Airways,Travel,565.36,505.92,59.44,TRV00072,False
72,2026-05-03,Verve Strategy,Professional Services,778.91,711.13,67.78,PS00073,False
73,2026-03-09,Metro Facilities,Facilities,414.89,372.19,42.7,FAC00074,False
74,2026-08-29,Bluebird Apps,Software,113.72,104.42,9.3,SW00075,False
75,2026-01-12,Redwood Print House,Office Supplies,198.08,177.18,20.9,OFF00076,False
76,2026-04-10,Lark & Ledger,Office Supplies,199.48,178.54,20.94,OFF00077,False
77,2026-02-27,NovaStack,Software,132.79,122.43,10.36,SW00078,False
78,2026-01-24,Northwind Office,Office Supplies,152.77,139.37,13.4,OFF00079,False
79,2026-07-18,SignalForge,Software,151.74,139.98,11.76,SW00080,False
80,2026-08-09,Lark & Ledger,Office Supplies,71.95,65.24,6.71,OFF00081,False
81,2026-04-14,Redwood Print House,Office Supplies,194.21,178.72,15.49,OFF00082,False
82,2026-08-01,Cedar Works,Facilities,238.4,217.57,20.83,FAC00083,False
83,2026-02-01,Hearth & Stone,Facilities,209.28,189.93,19.35,FAC00084,False
84,2026-01-24,Hearth & Stone,Facilities,399.0,356.56,42.44,FAC00085,False
85,2026-04-30,Northline Maintenance,Facilities,399.47,357.98,41.49,FAC00086,False
86,2026-04-15,Verve Strategy,Professional Services,836.65,778.37,58.28,PS00087,False
87,2026-05-30,Summit Stationery,Office Supplies,157.01,143.69,13.32,OFF00088,False
88,2026-04-17,Cedar Works,Facilities,404.58,369.45,35.13,FAC00089,False
89,2026-08-29,Summit Airways,Travel,778.44,677.03,101.41,TRV00090,False
